"web_x","web_y","popdens"
-9290823.1848889,3519539.20909658,10
-9270823.1848889,3519539.20909658,7
-9250823.1848889,3519539.20909658,11
-9230823.1848889,3519539.20909658,13
-9210823.1848889,3519539.20909658,13
-9190823.1848889,3519539.20909658,66
-9170823.1848889,3519539.20909658,17
-9150823.1848889,3519539.20909658,28
-9130823.1848889,3519539.20909658,54
-9110823.1848889,3519539.20909658,54
-9090823.1848889,3519539.20909658,388
-9070823.1848889,3519539.20909658,67
-9970823.1848889,3539539.20909658,54
-9950823.1848889,3539539.20909658,11
-9750823.1848889,3539539.20909658,67
-9570823.1848889,3539539.20909658,13
-9530823.1848889,3539539.20909658,9
-9510823.1848889,3539539.20909658,3
-9490823.1848889,3539539.20909658,3
-9470823.1848889,3539539.20909658,19
-9450823.1848889,3539539.20909658,4
-9430823.1848889,3539539.20909658,17
-9410823.1848889,3539539.20909658,17
-9390823.1848889,3539539.20909658,17
-9370823.1848889,3539539.20909658,29
-9350823.1848889,3539539.20909658,5
-9330823.1848889,3539539.20909658,5
-9310823.1848889,3539539.20909658,5
-9290823.1848889,3539539.20909658,4
-9270823.1848889,3539539.20909658,4
-9250823.1848889,3539539.20909658,17
-9230823.1848889,3539539.20909658,14
-9210823.1848889,3539539.20909658,14
-9190823.1848889,3539539.20909658,2
-9170823.1848889,3539539.20909658,8
-9150823.1848889,3539539.20909658,10
-9130823.1848889,3539539.20909658,29
-9110823.1848889,3539539.20909658,29
-9090823.1848889,3539539.20909658,1976
-9070823.1848889,3539539.20909658,629
-9970823.1848889,3559539.20909658,54
-9950823.1848889,3559539.20909658,11
-9930823.1848889,3559539.20909658,61
-9890823.1848889,3559539.20909658,77
-9870823.1848889,3559539.20909658,77
-9850823.1848889,3559539.20909658,1022
-9830823.1848889,3559539.20909658,44
-9770823.1848889,3559539.20909658,34
-9750823.1848889,3559539.20909658,67
-9730823.1848889,3559539.20909658,94
-9710823.1848889,3559539.20909658,568
-9670823.1848889,3559539.20909658,106
-9590823.1848889,3559539.20909658,30
-9570823.1848889,3559539.20909658,13
-9550823.1848889,3559539.20909658,8
-9530823.1848889,3559539.20909658,9
-9510823.1848889,3559539.20909658,3
-9490823.1848889,3559539.20909658,3
-9470823.1848889,3559539.20909658,19
-9450823.1848889,3559539.20909658,4
-9430823.1848889,3559539.20909658,17
-9410823.1848889,3559539.20909658,17
-9390823.1848889,3559539.20909658,17
-9370823.1848889,3559539.20909658,29
-9350823.1848889,3559539.20909658,5
-9330823.1848889,3559539.20909658,5
-9310823.1848889,3559539.20909658,5
-9290823.1848889,3559539.20909658,4
-9270823.1848889,3559539.20909658,4
-9250823.1848889,3559539.20909658,17
-9230823.1848889,3559539.20909658,14
-9210823.1848889,3559539.20909658,14
-9190823.1848889,3559539.20909658,2
-9170823.1848889,3559539.20909658,8
-9150823.1848889,3559539.20909658,10
-9130823.1848889,3559539.20909658,29
-9110823.1848889,3559539.20909658,29
-9090823.1848889,3559539.20909658,1976
-9070823.1848889,3559539.20909658,629
-9990823.1848889,3579539.20909658,79
-9970823.1848889,3579539.20909658,79
-9950823.1848889,3579539.20909658,11
-9930823.1848889,3579539.20909658,25
-9910823.1848889,3579539.20909658,17
-9890823.1848889,3579539.20909658,14
-9870823.1848889,3579539.20909658,14
-9850823.1848889,3579539.20909658,20
-9830823.1848889,3579539.20909658,42
-9810823.1848889,3579539.20909658,251
-9770823.1848889,3579539.20909658,47
-9750823.1848889,3579539.20909658,27
-9730823.1848889,3579539.20909658,51
-9710823.1848889,3579539.20909658,230
-9690823.1848889,3579539.20909658,18
-9670823.1848889,3579539.20909658,18
-9650823.1848889,3579539.20909658,6
-9630823.1848889,3579539.20909658,11
-9610823.1848889,3579539.20909658,8
-9590823.1848889,3579539.20909658,8
-9570823.1848889,3579539.20909658,11
-9550823.1848889,3579539.20909658,7
-9530823.1848889,3579539.20909658,7
-9510823.1848889,3579539.20909658,5
-9490823.1848889,3579539.20909658,5
-9470823.1848889,3579539.20909658,10
-9450823.1848889,3579539.20909658,8
-9430823.1848889,3579539.20909658,68
-9410823.1848889,3579539.20909658,17
-9390823.1848889,3579539.20909658,17
-9370823.1848889,3579539.20909658,271
-9350823.1848889,3579539.20909658,14
-9330823.1848889,3579539.20909658,13
-9310823.1848889,3579539.20909658,13
-9290823.1848889,3579539.20909658,6
-9270823.1848889,3579539.20909658,9
-9250823.1848889,3579539.20909658,8
-9230823.1848889,3579539.20909658,10
-9210823.1848889,3579539.20909658,10
-9190823.1848889,3579539.20909658,2
-9170823.1848889,3579539.20909658,7
-9150823.1848889,3579539.20909658,3
-9130823.1848889,3579539.20909658,20
-9110823.1848889,3579539.20909658,20
-9090823.1848889,3579539.20909658,24
-9070823.1848889,3579539.20909658,130
-9990823.1848889,3599539.20909658,7
-9970823.1848889,3599539.20909658,7
-9950823.1848889,3599539.20909658,5
-9930823.1848889,3599539.20909658,8
-9910823.1848889,3599539.20909658,8
-9890823.1848889,3599539.20909658,10
-9870823.1848889,3599539.20909658,10
-9850823.1848889,3599539.20909658,16
-9830823.1848889,3599539.20909658,53
-9810823.1848889,3599539.20909658,262
-9790823.1848889,3599539.20909658,19
-9770823.1848889,3599539.20909658,19
-9750823.1848889,3599539.20909658,5
-9730823.1848889,3599539.20909658,12
-9710823.1848889,3599539.20909658,13
-9690823.1848889,3599539.20909658,4
-9670823.1848889,3599539.20909658,4
-9650823.1848889,3599539.20909658,9
-9630823.1848889,3599539.20909658,20
-9610823.1848889,3599539.20909658,9
-9590823.1848889,3599539.20909658,9
-9570823.1848889,3599539.20909658,11
