"utm_x","utm_y"
-1.74658684698761,1224.45759810446
-1.74660289156956,1224.45750061915
-1.65999623847331,1223.23300863505
-1.57316699653483,1221.98261311617
-1.587879324662,1221.95853542205
-2.21324966367768,1220.93530067221
-2.48398902070482,1220.23948889558
-3.46822121449366,1217.71021872898
-3.48463398747194,1217.66805041151
-3.49500076805413,1217.56870066143
-3.69647511415966,1215.63847534506
-3.76518425241809,1215.21122580572
-3.77695917455827,1215.13809974172
-3.77695031800815,1215.13806219026
-3.77696166272869,1215.13799164669
-3.40270760944456,1213.55119370815
-3.23521775868302,1213.12048055051
-2.92773294718578,1212.32955275855
-3.12851589642221,1211.46825573436
-3.67432405150772,1210.55853041028
-3.8193789882458,1210.31675530152
-5.08150436275534,1209.39571271572
-5.40979542760385,1208.27281372779
-5.94979989231633,1207.74779819954
-6.30981530973218,1207.7149444708
-6.57073877883709,1207.69106069443
-6.90470290436372,1207.32383623065
-7.54144839770441,1205.91236075879
-8.189110385918,1205.95958550809
-8.38607845401079,1205.50474121435
-8.3928213696979,1205.48917804898
-8.37756195681013,1205.45310208292
-8.12924894320185,1204.86592365079
-8.58186388593412,1204.1101916895
-8.61513070331854,1204.05465360965
-8.52169225732158,1203.57111942571
-8.23810335946002,1202.10355325999
-8.37446160619731,1201.5851079887
-8.46462291022525,1201.24240388747
-8.46460965447388,1201.24236200191
-8.46462705719578,1201.24229583652
-8.3937048830655,1201.01831756363
-8.31514830501911,1200.77009670647
-8.69980967314472,1200.56110266738
-9.50434647357815,1200.12420276403
-9.62840307461178,1199.97541510511
-9.81136273143193,1199.7563032261
-9.8113226907886,1199.75603108866
-9.81136604901799,1199.75597908729
-9.76905859426437,1199.46878307022
-9.70038389631709,1199.00204047304
-9.51569550252728,1198.65018109102
-8.82986766208168,1197.3436066541
-7.93063114338232,1195.39896532714
-7.86979501127878,1194.8414443893
-7.84546390502952,1194.61843880697
-7.56672005842878,1192.58969270225
-7.11531942957516,1191.42186745883
-6.01782022178269,1190.33909076285
-4.74554968960705,1189.90864675992
-3.7043788322562,1189.29361260473
-2.90098575513324,1189.17134281039
-2.14757569221147,1188.86555787754
-0.961284711968009,1188.35817552587
-0.00000933067306987567,1187.94660285215
0.113209285171565,1187.89810672578
1.25957809561206,1187.07573508714
1.64889942635326,1186.95249725916
2.2978568531601,1186.74653268184
3.82861139688173,1186.31840142071
5.33810336718685,1185.39540986996
7.04752552488893,1182.44321123925
7.3918161399733,1182.1433843945
7.93428877461844,1181.67064400218
8.79102482904427,1181.42449124444
9.07576664369624,1181.34257269007
10.8143548855978,1180.78546327835
11.8851246255469,1180.3335095031
12.684301852549,1179.99587124399
12.968365775473,1179.9077465314
13.2551461202391,1179.81845306562
14.12696500089,1179.27627972719
14.6862768662197,1178.92824425391
14.9890876019752,1178.39998772866
15.1534766373651,1178.11310328785
15.4412192779572,1177.61125412192
15.694830942176,1177.16884203607
15.7916208981209,1176.7702951011
16.439551202514,1174.10192349708
16.9187821751775,1172.77968453329
17.092461920932,1172.30090116649
17.0982234072018,1172.28500485735
17.030986026458,1170.72306337084
17.0310031263558,1170.7230211873
17.0309910028215,1170.72273950297
17.1375880360074,1170.46008890828
17.2413935441503,1170.20401497258
18.1242893625422,1169.40348323375
18.4381804374174,1169.11876653263
18.4884395260979,1169.01940428783
18.6740028600534,1168.65211297764
18.4734695289926,1167.68801266827
18.4734874184192,1167.68796678384
18.4734745053561,1167.68790472163
18.8679944068273,1166.67559565388
19.0956267965154,1166.44179071849
19.111298040169,1166.42569081057
19.6230655147532,1165.89970601423
19.8326173720005,1165.81116384533
20.3490928742306,1165.59239885102
20.851372261209,1164.56142602644
21.0567491380432,1164.13966123233
21.1871150005878,1164.01902863178
21.4469230105444,1163.77818613461
21.8592467016095,1163.98887526131
22.1697673326086,1163.97134346222
22.6870242198384,1163.9415996205
22.7611850781902,1164.26896328856
22.7875385802845,1164.38510806182
22.7875195757148,1164.38521075416
22.7875452154367,1164.3853239349
22.6000837353214,1165.39821491766
23.2706710262422,1165.66309977024
23.7334268998314,1166.08191117409
24.250393678824,1166.1113792771
24.7099215477058,1165.77406271995
25.4454089847128,1165.23414705735
26.245483889295,1164.92873694819
26.2490197966117,1164.92738592263
26.2490244935047,1164.92738474758
26.251024574717,1164.92712644941
27.5946546634268,1164.75317356625
28.3483186412612,1164.74342833885
28.9135666290252,1164.73579560717
29.5064578702984,1165.02560927234
29.9413792531071,1165.7829138652
30.1035956015593,1165.89315667664
30.121049398116,1165.90499513179
30.2502923369557,1165.99253553969
31.336660236611,1165.94720015953
31.3858632559904,1165.86343780086
31.6650410294426,1165.38910313467
31.8854674834477,1165.0141677939
32.7678905099863,1164.47318438475
32.9765065348378,1164.18823236932
33.2672263127384,1163.14930146135
33.1805130166105,1163.03127571359
32.9571351890014,1162.7277814172
32.113454854144,1161.58124393022
32.1135179009259,1161.58090690252
32.1134482189832,1161.58081221831
32.2204235652161,1161.00933818871
33.5165188788132,1160.44456469724
33.7872567196944,1160.2144189236
34.0623170811689,1159.98006062498
34.5596985304538,1158.96840389956
34.8023728249498,1157.30507154085
34.9478859267367,1156.9313193436
35.0650819811476,1156.62996190797
35.3756648103259,1156.55409977448
35.375670442563,1156.55409920669
35.380989765103,1156.55711444154
35.8394215899489,1156.81665174833
36.2014325313301,1156.79291078936
36.8775883792048,1156.12072448836
36.9858533596199,1155.67536742891
37.01016216771,1155.57534458426
36.9898909654025,1155.45378738924
36.9103162995099,1154.97677440073
36.4873533900036,1154.73488572421
35.6223523729114,1154.24063427795
35.3787683959302,1153.90970226717
35.3146601582665,1153.8227180486
35.3146924470312,1153.82264950403
35.3146634758441,1153.82261014419
35.498012816346,1153.43329316114
35.7339999030566,1153.41993515661
36.3253308498369,1153.38592367424
37.1006223984485,1153.44307122822
37.8755660121633,1153.49965370993
38.2897923349825,1153.39811672521
39.3428307144399,1153.71487411167
39.3476522752706,1153.7163244594
39.3476555383969,1153.71632403096
40.4859037984269,1153.56687761131
42.3970351954778,1153.83804047807
42.8627835256377,1153.76261534305
43.0338563146739,1153.6670901199
43.6925665205816,1153.29884598889
43.730855047497,1153.09405721676
43.7458602351278,1153.01363909986
42.4851965491872,1152.01806246197
41.1493599525262,1150.60612471081
