"web_x","web_y"
1638715.66955821,1426605.85502113
1638904.87893673,1426238.63426451
1638905.41590624,1425768.56483502
1638687.12702641,1425166.15719543
1638624.80315003,1425081.1568195
1638439.42412708,1424828.11620378
1638162.52317655,1424475.2776354
1637725.19172567,1424078.25610134
1637715.42369049,1424070.20252916
1637610.0987997,1423982.59288014
1637628.46724464,1423975.19268316
1637606.91357068,1423979.98091889
1637477.38094159,1423872.34657719
1637172.55477048,1423603.3171325
1637160.34473575,1423592.54294695
1637127.53690331,1423563.59414488
1637089.95156546,1423504.60871293
1636865.28892481,1423152.00457063
1636787.46406338,1423018.58211497
1636719.72564638,1422902.24607093
1636710.91346758,1422872.75414234
1636632.45324747,1422608.41639135
1636589.24592912,1422138.40516947
1636633.52677885,1421697.89328308
1636686.40691191,1421328.8828628
1636794.81693072,1420949.10480404
1637160.06589465,1420523.63187147
1637641.89338745,1420259.86687836
1638050.56487495,1420084.13483434
1638561.16173994,1420143.44595905
1638954.85699896,1420393.51046155
1639435.93293068,1420775.79179998
1639697.8591781,1421436.87195803
1639755.71890593,1421892.18104905
1639784.48694394,1422318.1144617
1639818.88356522,1422644.47916942
1639827.80120413,1422729.36288795
1639914.96591415,1423140.72653512
1640148.12373867,1423405.28881749
1640381.49562297,1423537.73563472
1640609.02815186,1423647.54659521
1640716.90171738,1423699.56818739
1640906.53008526,1423773.24794642
1641286.00145421,1423744.19553397
1641577.98559773,1423612.29879671
1641840.7720673,1423436.32692629
1641947.69174605,1423357.53700455
1642049.30260112,1423282.77383904
1642111.62890889,1423179.9329775
1642249.76609085,1422952.05198434
1642339.48676473,1422763.67574501
1642410.62623154,1422614.47740716
1642498.54441918,1422232.72344865
1642531.03637745,1422056.43044708
1642580.19905108,1421789.27240969
1642771.74741941,1421177.92061653
1642922.94580915,1420823.28204769
1642929.63592087,1420741.12454034
1642981.98862562,1420103.78603867
1643026.27134991,1419516.40663327
1643006.20646003,1419340.4558368
1642990.60043205,1419203.78730565
1643085.31491328,1418738.18525348
1643362.86278078,1418327.32381557
1643547.71714102,1418099.37260654
1643684.26091071,1417931.15772714
1643884.50955994,1417792.43128628
1644107.58613132,1417637.82008342
1644574.65525074,1417373.97217252
1645012.31019094,1417388.99300371
1645537.56193938,1417242.65703249
1646077.35802672,1417228.41063427
1646660.79071048,1417331.67410566
1647258.87560782,1417434.93813291
1647550.6455123,1417449.84828765
1648221.67237369,1417597.1801247
1648644.67493039,1417626.88971178
1648965.53540086,1417759.20255689
1649403.18998253,1417803.60142504
1649811.64669933,1417818.51328429
1650088.8718963,1417730.60101206
1650347.09222657,1417600.90717278
1650380.75005694,1417584.0426649
1650416.00075631,1417548.68117243
