"longitude","latitude","web_x","web_y","ozone","popdens"
-72.55,41.260833,-8077254.84649974,5050274.13080748,93,198
-72.065,41.317222,-8023269.48550493,5058633.29364364,89,682
-72.07887,41.6,-8024817.86637859,5100633.00381667,92,350
-72.388056,41.976389,-8059239.98310365,5156819.35941513,87,85
-75.555556,38.984722,-8411774.37847064,4718862.11214189,78,98
-75.730833,39.551111,-8431292.46858533,4800293.09721205,81,79
-75.563889,39.817222,-8412713.51263637,4838784.50031117,86,554
-75.496389,39.773889,-8405199.40253929,4832507.54658885,77,554
-75.613056,38.644444,-8418170.17411211,4670251.05441327,81,25
-75.163056,38.779167,-8368081.94174402,4689473.94124367,80,59
-77.022778,38.975278,-8575092.07539803,4717494.29170231,84,1689
-76.952778,38.897222,-8567299.27794176,4706325.30241914,89,801
-77.0125,38.918889,-8573947.26718957,4709423.96576065,87,2111
-82.296944,29.546667,-9162063.34117752,3444854.91417129,78,13
-82.445,30.1975,-9178548.75790049,3528396.91020869,69,17
-85.732,30.131,-9544423.5374809,3519812.57956046,77,450
-80.628611,28.053889,-8976348.69189869,3255245.16646684,67,1127
-80.615556,28.310556,-8974897.47197379,3287656.87038899,68,88
-80.295,26.272,-8939201.31445682,3032308.32063945,57,223
-80.097,26.29,-8917161.8453126,3034544.08597731,61,2136
-80.111,26.087,-8918718.80780449,3009363.49207715,64,623
-81.711,26.27,-9096817.50795024,3032051.30080155,69,212
-82.619444,30.178056,-9197965.99111536,3525891.8266071,72,66
-81.5875,30.4775,-9083102.51073389,3564514.2746512,76,24
-81.454,30.261,-9068240.75696944,3536584.51963503,81,629
-87.204167,30.525,-9708292.38932689,3570610.68036761,82,230
-87.271,30.368,-9715730.27443245,3550339.83732882,79,568
-87.276,30.399,-9716287.06161833,3554339.65147752,77,568
-81.340556,27.188889,-9055589.50919419,3146572.59522506,70,6
-82.465278,27.739722,-9180786.91849128,3215665.5723169,83,206
-82.454722,27.928056,-9179613.29806857,3239371.35453761,83,206
-82.538611,27.892222,-9188950.75333032,3234857.18775523,81,865
-82.2304,27.96565,-9154644.19705587,3244109.74137488,78,105
-85.604444,30.8475,-9530231.10420036,3612363.21198345,73,37
-81.723333,28.525,-9098206.50745332,3314789.08303638,78,15
-81.98,26.547861,-9126761.97024398,3066581.53408704,69,204
-81.939444,26.448889,-9122246.97966703,3054272.24554378,68,204
-84.348333,30.439722,-9390410.64625422,3559616.18747912,71,17
-84.199167,30.484444,-9373807.38435712,3565392.29390349,75,271
-82.546111,27.632778,-9189783.69965534,3202222.19615126,75,108
-82.618889,27.480556,-9197883.55600724,3183110.06255258,75,499
-82.522222,27.449444,-9187123.29062119,3179207.78501501,70,499
-82.100833,29.170278,-9140231.18627792,3396787.58423954,72,476
-82.173333,29.1925,-9148301.36204898,3399620.13847199,74,476
-80.162,25.733,-8924393.28190894,2965556.48098352,70,6383
-80.327,25.586,-8942758.63543189,2947402.98150762,71,523
-81.381389,28.454167,-9060143.98618787,3305820.80156027,78,1179
-81.363056,28.599444,-9058104.43898494,3324225.93048848,76,1179
-81.636667,28.347222,-9088558.32002991,3292286.48534112,73,18
-80.234,26.731,-8932414.53738879,3089398.3332723,66,156
-80.060867,26.59123,-8913141.93676004,3071990.89177057,68,1111
-82.305833,28.331944,-9163043.39471034,3290349.8803725,78,55
-82.758056,28.195,-9213379.47641527,3273040.67614954,68,130
-82.731944,27.946389,-9210471.11384077,3241679.33121703,71,1480
-82.74,27.785556,-9211366.6598453,3221429.15862772,69,1480
-82.700833,28.09,-9207009.1914721,3259786.7684294,72,64
-82.000278,27.939444,-9129029.01425056,3240809.07003011,77,36
-81.972222,28.029167,-9125906.74900902,3252118.46268077,73,340
-80.40833,27.448889,-8951824.5342159,3179151.86310967,63,397
-87.0081,30.3941,-9686467.32950486,3553709.15978833,82,106
-82.570556,27.306944,-9192502.35543926,3161345.3661937,73,499
-82.48,27.350278,-9182422.83544972,3166775.34647102,72,499
-82.362583,27.089194,-9169351.25104675,3134096.33575507,71,35
-81.31,28.745556,-9052199.86872538,3342762.76432407,69,61
-80.993889,29.108889,-9017016.19399547,3388972.03774428,65,1767
-81.053056,29.206667,-9023602.88557631,3401434.38642116,65,1767
-84.161944,30.093056,-9369660.93492436,3514941.14252276,70,16
-83.543628,32.805244,-9300859.71369176,3868872.21674925,80,103
-83.788849,32.827803,-9328155.38019438,3871858.10227971,84,298
-81.048949,32.06905,-9023170.17958927,3771798.14394443,65,11
-85.408056,34.474167,-9508403.84196451,4092000.9056196,80,87
-83.344512,33.917925,-9278706.77289429,4017162.60734032,83,70
-84.607484,34.015346,-9419288.40035824,4030227.00319342,89,334
-82.13134,33.582,-9143665.60547423,3972202.68797163,74,112
