"","utm_x","utm_y"
"85",380622.151904737,654615.297699851
"86",380499.048439754,654615.536893781
"87",380499.108407923,654646.383467754
"88",380468.553959265,654646.442876997
"89",380468.672859634,654707.583225312
"90",380407.121197154,654707.702961963
"91",380407.181004829,654738.438983915
"92",380345.629362049,654738.55878778
"93",380345.68920332,654769.29481557
"94",380253.583173288,654769.474213915
"95",380253.643063446,654800.210250312
"96",380161.315645908,654800.390226836
"97",380161.375800682,654831.236833161
"98",380099.824206012,654831.356900184
"99",380099.944154372,654892.829002216
"100",380038.392610163,654892.949142038
"101",380038.452619356,654923.685199054
"102",380069.228377443,654923.625118653
"103",380069.287726579,654954.029489144
"104",379915.630392792,654954.329626381
"105",379915.690685179,654985.176256494
"106",379884.91494388,654985.236419444
"107",379884.975038385,655015.972491234
"108",379854.088605643,655016.032888899
"109",379854.148718419,655046.76896378
"110",379823.373002356,655046.829163203
"111",379823.43313335,655077.56524117
"112",379731.106014625,655077.745940349
"113",379731.166194651,655108.482026964
"114",379669.83620694,655108.602142051
"115",379669.896420484,655139.338234517
"116",379608.345044551,655139.458850408
"117",379608.284800191,655108.722752364
"118",379515.957669117,655108.903783538
"119",379516.198414546,655231.627087911
"120",379485.42276012,655231.687473638
"121",379485.483077368,655262.423584035
"122",379454.928843074,655262.48355337
"123",379454.989178443,655293.219666831
"124",379393.437917288,655293.340526389
"125",379393.498286301,655324.076645733
"126",379362.722666961,655324.137101454
"127",379362.783054208,655354.873223897
"128",379270.45622558,655355.054692043
"129",379270.516661891,655385.790823166
"130",379239.741062149,655385.851346212
"131",379239.801516698,655416.587480426
"132",379209.025929577,655416.648021704
"133",379208.965459613,655385.911884691
"134",379178.411261527,655385.972002909
"135",379178.471746794,655416.708142701
"136",379116.920558577,655416.829302206
"137",379116.981077501,655447.565447904
"138",379086.205494612,655447.62605361
"139",379086.26559625,655478.141079023
"140",379024.714888394,655478.483465719
"141",379024.775023452,655508.998496992
"142",378994.22086978,655509.058718149
"143",378994.342050503,655570.531033987
"144",378963.345111243,655570.59214911
"145",378963.405721381,655601.328310295
"146",378902.076085307,655601.44928267
"147",378902.136729004,655632.185449748
"148",378840.585705922,655632.306926104
"149",378840.646383293,655663.043099085
"150",378717.544365098,655663.286248304
"151",378717.665414691,655724.537494
"152",378656.335856518,655724.658734651
"153",378656.396634795,655755.394925358
"154",378502.408548248,655755.699624422
"155",378502.469406535,655786.435829499
"156",378471.693936817,655786.496774673
"157",378471.815692767,655847.969191359
"158",378318.159862276,655848.273737943
"159",378318.281783634,655909.746183947
"160",378256.730930969,655909.868297393
"161",378256.669938015,655879.132068599
"162",378195.340449304,655879.253798616
"163",378195.241093651,655940.726707351
"164",378164.687078771,655940.787381236
"165",378164.747684412,655971.30249505
"166",378072.421451076,655971.485936628
"167",378072.482545013,656002.22218323
"168",378041.707143674,656002.283364143
"169",378041.768255893,656033.019613859
"170",378010.992867148,656033.080813046
"171",378011.053997649,656063.817065883
"172",377949.50324254,656063.939516259
"173",377949.625573828,656125.412034141
"174",377888.296274541,656125.534116788
"175",377888.357695372,656156.380943911
"176",377826.807010335,656156.503534663
"177",377826.990061267,656248.380662107
"178",377734.664150859,656248.564689518
"179",377734.72544012,656279.300969883
"180",377703.95014642,656279.362346094
"181",377704.011453978,656310.098629585
"182",377673.457577788,656310.159582343
"183",377673.519124133,656341.006431122
"184",377611.96858441,656341.129271957
"185",377612.029943899,656371.865564531
"186",377550.479423707,656371.988472863
"187",377550.540816936,656402.724771399
"188",377488.990316273,656402.847747234
"189",377489.051743243,656433.584051743
"190",377458.276504064,656433.645565686
"191",377458.33794934,656464.381873337
"192",377396.787493358,656464.504953278
"193",377396.848530075,656495.02014234
"194",377366.2947176,656495.081265343
"195",377366.3562148,656525.817582079
"196",377304.805803349,656525.940765879
"197",377304.8673343,656556.677088601
"198",377274.092139724,656556.738706535
"199",377274.153688989,656587.475032392
"200",377192.676942029,656587.638246946
"201",377151.274348294,656587.721226304
"202",377151.33596209,656618.457563817
"203",377120.560784204,656618.519264639
"204",377120.622416318,656649.255605303
"205",377089.847250995,656649.317324436
"206",377089.908901428,656680.053668236
"207",377028.358593163,656680.177158587
"208",377028.420277362,656710.913508381
"209",376997.534432418,656710.975501829
"210",376997.595691082,656741.490729942
"211",376905.602396814,656741.675477843
"212",376905.664148421,656772.41183961
"213",376874.889024834,656772.473678264
"214",376874.950794768,656803.210043182
"215",376844.064981936,656803.27212269
"216",376844.126770254,656834.008490772
"217",376875.012567582,656833.9464084
"218",376875.136121854,656895.419139717
"219",376844.250355535,656895.481227816
"220",376844.29347973,656916.93034857
"221",376844.435310433,656987.46921065
"222",376782.885265008,656987.593005318
"223",376782.947101498,657018.32938088
"224",376752.172089953,657018.391304276
"225",376752.233944779,657049.127682995
"226",376721.791050151,657049.188956201
"227",376721.520818996,657079.926006586
"228",376660.192246247,657080.049496244
"229",376660.254153093,657110.785884108
"230",376598.704197018,657110.909887076
"231",376598.76613766,657141.646280947
"232",376567.991170796,657141.708308502
"233",376567.929214699,657110.971911771
"234",376506.379241449,657111.096007584
"235",376506.441228456,657141.832410036
"236",376475.666253,657141.894484016
"237",376475.728258353,657172.630889627
"238",376444.953295471,657172.692981944
"239",376445.01531917,657203.429390717
"240",376383.686818297,657203.553180498
"241",376383.527026772,657234.068917012
"242",376352.973488565,657234.130614327
"243",376353.097642904,657295.603450484
"244",376322.322730304,657295.665616032
"245",376322.384827273,657326.402037427
"246",376260.835024376,657326.526420691
"247",376260.897155159,657357.26284811
"248",376199.347371718,657357.387299026
"249",376199.409536318,657388.123732485
"250",376168.856057762,657388.185536124
"251",376168.918240609,657418.921972718
"252",376137.921970709,657418.984690544
"253",376137.984172027,657449.721130326
"254",376107.430718488,657449.782970403
"255",376107.492938056,657480.519413337
"256",376076.718095259,657480.581719827
"257",376076.779885424,657511.097040413
"258",376046.005055119,657511.159365236
